source_ref_id,source_file,source_sheet,source_row,source_column_or_cell_range,source_field,raw_value,raw_status,orderable_rpo,ref_rpo,source_detail_raw
staging_variant_matrix_rows.csv:Standard Equipment 1:40:ee13c43408,staging_variant_matrix_rows.csv,Standard Equipment 1,40,stingray_1lt_c67,variant_matrix_row,"Visors, driver and passenger illuminated vanity mirrors, covered",S,,,"Visors, driver and passenger illuminated vanity mirrors, covered"
staging_variant_matrix_rows.csv:Standard Equipment 1:41:272e0bd9a6,staging_variant_matrix_rows.csv,Standard Equipment 1,41,stingray_1lt_c67,variant_matrix_row,"Antenna, integral front and rear",S,,,"Antenna, integral front and rear"
staging_variant_matrix_rows.csv:Standard Equipment 1:41:2e3722c918,staging_variant_matrix_rows.csv,Standard Equipment 1,41,stingray_3lt_c07,variant_matrix_row,"Antenna, integral front and rear",S,,,"Antenna, integral front and rear"
staging_variant_matrix_rows.csv:Standard Equipment 1:41:3d49471d12,staging_variant_matrix_rows.csv,Standard Equipment 1,41,stingray_1lt_c07,variant_matrix_row,"Antenna, integral front and rear",S,,,"Antenna, integral front and rear"
staging_variant_matrix_rows.csv:Standard Equipment 1:41:3db36b33ee,staging_variant_matrix_rows.csv,Standard Equipment 1,41,stingray_3lt_c67,variant_matrix_row,"Antenna, integral front and rear",S,,,"Antenna, integral front and rear"
staging_variant_matrix_rows.csv:Standard Equipment 1:41:b62200d788,staging_variant_matrix_rows.csv,Standard Equipment 1,41,stingray_2lt_c07,variant_matrix_row,"Antenna, integral front and rear",S,,,"Antenna, integral front and rear"
staging_variant_matrix_rows.csv:Standard Equipment 1:41:ef41abffae,staging_variant_matrix_rows.csv,Standard Equipment 1,41,stingray_2lt_c67,variant_matrix_row,"Antenna, integral front and rear",S,,,"Antenna, integral front and rear"
staging_variant_matrix_rows.csv:Standard Equipment 1:42:1cf6308314,staging_variant_matrix_rows.csv,Standard Equipment 1,42,stingray_1lt_c07,variant_matrix_row,"Windows, power with driver and passenger Express-Down/Up",S,,,"Windows, power with driver and passenger Express-Down/Up"
staging_variant_matrix_rows.csv:Standard Equipment 1:42:2be6083261,staging_variant_matrix_rows.csv,Standard Equipment 1,42,stingray_2lt_c07,variant_matrix_row,"Windows, power with driver and passenger Express-Down/Up",S,,,"Windows, power with driver and passenger Express-Down/Up"
staging_variant_matrix_rows.csv:Standard Equipment 1:42:3443fc76ed,staging_variant_matrix_rows.csv,Standard Equipment 1,42,stingray_2lt_c67,variant_matrix_row,"Windows, power with driver and passenger Express-Down/Up",S,,,"Windows, power with driver and passenger Express-Down/Up"
staging_variant_matrix_rows.csv:Standard Equipment 1:42:3cd7d47886,staging_variant_matrix_rows.csv,Standard Equipment 1,42,stingray_3lt_c07,variant_matrix_row,"Windows, power with driver and passenger Express-Down/Up",S,,,"Windows, power with driver and passenger Express-Down/Up"
staging_variant_matrix_rows.csv:Standard Equipment 1:42:ee589ea346,staging_variant_matrix_rows.csv,Standard Equipment 1,42,stingray_3lt_c67,variant_matrix_row,"Windows, power with driver and passenger Express-Down/Up",S,,,"Windows, power with driver and passenger Express-Down/Up"
staging_variant_matrix_rows.csv:Standard Equipment 1:42:f9547247ed,staging_variant_matrix_rows.csv,Standard Equipment 1,42,stingray_1lt_c67,variant_matrix_row,"Windows, power with driver and passenger Express-Down/Up",S,,,"Windows, power with driver and passenger Express-Down/Up"
staging_variant_matrix_rows.csv:Standard Equipment 1:43:5d77694ecb,staging_variant_matrix_rows.csv,Standard Equipment 1,43,stingray_2lt_c67,variant_matrix_row,Wireless Apple CarPlay/Wireless Android Auto,S,,PPW,Wireless Apple CarPlay/Wireless Android Auto
staging_variant_matrix_rows.csv:Standard Equipment 1:43:5ee02513f7,staging_variant_matrix_rows.csv,Standard Equipment 1,43,stingray_3lt_c67,variant_matrix_row,Wireless Apple CarPlay/Wireless Android Auto,S,,PPW,Wireless Apple CarPlay/Wireless Android Auto
staging_variant_matrix_rows.csv:Standard Equipment 1:43:a60221a2ea,staging_variant_matrix_rows.csv,Standard Equipment 1,43,stingray_2lt_c07,variant_matrix_row,Wireless Apple CarPlay/Wireless Android Auto,S,,PPW,Wireless Apple CarPlay/Wireless Android Auto
